표제,편/권차,저 자,낱권 ISBN,낱권 부가기호,세트 ISBN,세트 부가기호,CIP 제어번호,판차,총서 표제,총서 편차,가격,발행일(예정),발행처,한국십진분류,듀이십진분류,납본여부,출판사홈페이지
장애인학대 관련 범죄 처벌 이대로 괜찮은가?,,"주최: 국회의원 최혜영,국회의원 이종성,대한변호사협회,중앙장애인권익옹호기관",979-11-85498-85-0,93330?,,,,,,,비매품/무료,20201028,국회의원 최혜영 :국회의원 이종성 :대한변호사협회 :중앙장애인권익옹호기관,,,미납본,http://www.cowalk.or.kr
나는 전쟁범죄자입니다,,저자 : 김효순,979-11-90893-35-0,05900?,,,CIP2020043675?,,,,"13,650",20201023,(도서출판)서해문집,909.54,,미납본,
그녀들의 범죄,,저자 : 요코제키 다이 역자 : 임희선,978-89-464-7344-7,05830?,,,CIP2020043836?,,,,10500,20201019,(주)샘터사,833.6,,미납본,www.samtoh.com
출동! 우리 반 &#039디지털 성범죄&#039 수사대,,저자 : 박선희 김주리,979-11-7026-371-5,75810?,,,CIP2020041528?,,,,"7,000",20201015,팜파스,813.8,,미납본,http://www.pampasbook.com
출동! 우리 반 '디지털 성범죄' 수사대,,저자 : 박선희 그림 : 김주리,979-11-7026-370-8,75810?,,,CIP2020041529?,,,,7000,20201015,팜파스,813.8,,미납본,http://www.pampasbook.com
완전범죄 이십새기[연재],,저자 : 위선호,978-89-5952-961-2,05810?,,,,,,,연재가,20201005,(주)제우미디어,,,미납본,http://www.jeumedia.com
서울시 디지털성범죄 피해자지원센터 운영 방안 연구,,저자 : 강희영,979-11-91139-08-2,93330?,,,,,,,"16,000",20200930,서울시여성가족재단,,,미납본,http://www.seoulwomen.or.kr/
부산지역 디지털성범죄 인식조사 및 대응방안,,연구책임: 정다운,979-11-5575-107-7,93330?,,,,,,,비매품/무료,20200929,부산여성가족개발원,,,미납본,http://www.bwf.re.kr
범죄자 세트,,저자 : 오타 아이,,,978-89-546-7456-0,05830?,,,,,"21,500",20200928,(주)문학동네,,,미납본,www.munhak.com
범죄와 형벌 강의,,정상우 저,979-11-85073-21-7,93360?,,,CIP2020041108?,,,,20000,20200928,Design장이(디자인장이),364,,미납본,
나는 전쟁범죄자입니다(큰글자도서),,저자 : 김효순,979-11-90893-17-6,03900?,,,,,,,40000,20200915,(도서출판)서해문집,,,미납본,
"덜미, 완전범죄는 없다",3?,"한국일보 경찰팀 지음 글쓴이: 김창훈,김정원,홍인택,김동욱,안하늘,정준기,신지후,박진만,김현종,이현주,김정현,이승엽,최동순,박지윤,김영훈",979-11-87572-26-8,04300?,979-11-87572-14-5,04300?,CIP2020037089?,,"덜미, 완전범죄는 없다",3,16500,20200914,북콤마,351.176,,미납본,
(2020)성범죄백서,,법무부 범죄예방정책국 문희갑 손세헌 민덕희 김근한 김상술 김용우 이선구 이민우 홍수민 임수정,979-11-290-1672-0,93330?,,,,,,,23000,20200911,진한엠앤비,,,미납본,http://www.jinhanbook.co.kr/
"(2020년판)여성,청소년 범죄 수사 실무 총서",,저자 : 박태곤,978-89-7535-865-4,95350?,,,CIP2020036384?,,,,160000,20200910,법문북스,367.43,,미납본,http://www.law.co.kr
범죄자 - 상,1?,오타 아이,978-89-546-7457-7,05830?,,,,,,,11100,20200907,(주)문학동네,,,미납본,www.munhak.com
범죄자 - 하,2?,오타 아이,978-89-546-7458-4,05830?,,,,,,,10400,20200907,(주)문학동네,,,미납본,www.munhak.com
학대·폭력범죄,,최상헌 저,978-89-953345-7-7,03330?,,,,,,,40000,20200831,대한무림합기도협회 출판부,,,미납본,016-224-8600/02-3291-8600
교정시설내 성범죄자 심리치료 프로그램 효과성 평가 연구,,저자 : 윤정숙 김민영 이태헌,979-11-89908-64-5,93330?,,,,,,,"7,000",20200831,한국형사정책연구원,,,미납본,http://www.kic.re.kr
한국의 범죄현상과 형사정책(2019),,저자 : 한국형사정책연구원,979-11-89908-66-9,93330?,,,,,,,"15,000",20200831,한국형사정책연구원,,,미납본,http://www.kic.re.kr
문화학,2?,이대희,979-11-967428-1-2,93600?,,,CIP2020034980?,,,,70000,20200830,ACRIS(한국범죄연구원),331.5,,미납본,http://www.nulbo.net
문화학,1?,이대희,979-11-967428-0-5,93600?,,,CIP2020034981?,,,,75000,20200830,ACRIS(한국범죄연구원),331.5,,미납본,http://www.nulbo.net
그녀들의 범죄,,요코제키 다이 지음 임희선 옮김,978-89-464-2168-4,03830?,,,CIP2020033122?,,,,15000,20200828,샘터(샘터사),833.6,,미납본,www.samtoh.com
(2020) 범죄피해자 보호론,,김예람 편저,979-11-6298-075-0,93350?,,,,제9판,,,비매품/무료,20200828,경찰대학,,,미납본,
범죄학,,"김형중,이도선,정의롬,조상현 지음",978-89-5727-324-1,93350?,,,CIP2020035196?,개정판,,,25000,20200827,그린,364.4,,미납본,http://www.greenpress.co.kr
(연쇄살인사건 프로파일러가 들려주는) 범죄 심리의 재구성,,글: 고준채,979-11-5633-296-1,03300?,,,CIP2020033338?,,,,15000,20200821,다른,364.45,,미납본,
일본전쟁범죄사,,저자 : 동양서원,979-11-6339-602-4,05300?,,,,,,,"6,000",20200820,온이퍼브,,,미납본,
범죄예방환경설계,,지은이: 주미옥,978-89-93632-79-8,03530?,,,CIP2020033632?,,,,20000,20200818,나무와숲,539.73,,미납본,
범죄학,,허경미 저,979-11-303-1050-3,93350?,,,,제7판,,,30000,20200815,박영사,,,미납본,http://www.pybook.co.kr
고전 추리·범죄소설 100선,,저자 : 마틴 에드워즈 역자 : 송소희,979-11-90257-70-1,05800?,,,,,,,11200,20200814,시그마북스,,,미납본,http://www.sigmabooks.co.kr
고전 추리·범죄소설 100선,,마틴 에드워즈 지음 성소희 옮김,979-11-90257-66-4,03800?,,,CIP2020029847?,,,,16000,20200814,시그마북스,843.6,,미납본,http://www.sigmabooks.co.kr
범죄 가해?피해 장애인을 위한 ‘개별 맞춤형 재범방지 지원(PPRS)’ 매뉴얼 개발연구,,저자 : 황순영 차세진,978-89-89094-81-4,93370?,,,,,,,비매품/무료,20200811,서림출판사,,,미납본,
괴이한 미스터리_범죄 편,,저자 : 엄길윤 황세연 전건우 조동신 한이,979-11-91029-01-7,05810?,979-11-970387-8-5,05810?,CIP2020032511?,,괴이한 미스터리,2,"8,400",20200808,나비클럽,813.7,,미납본,
디지털 성범죄,,원작자 : 임병국,979-11-970834-0-2,05330?,,,CIP2020031267?,,,,"16,000",20200731,민서출판사,334.2232,,미납본,
[전자책 코믹스] 제자에게 협박당하는 것은 범죄인가요? 1,,삽화가(그림작가) : 카와세미 마키코 원작자 : 사가라 소우,979-11-6507-944-4,05830?,979-11-6507-943-7,05830?,,,[전자책 코믹스 세트] 제자에게 협박당하는 것은 범죄인가요?,,"3,500",20200731,(주)소미미디어,,,미납본,
[전자책 코믹스 세트] 제자에게 협박당하는 것은 범죄인가요?,,저자 : 카와세미 마키코,,,979-11-6507-943-7,05830?,,,,,세트가미정,20200731,(주)소미미디어,,,미납본,
영화ㆍ심리ㆍ법 (영화로 보는 범죄와 심리),,"김화정 , 정진항",979-11-303-6584-8,95350?,,,,,,,11900,20200731,(주)박영사,,,미납본,http://www.pybook.co.kr
한국 범죄심리학,,"지은이: 황성현,이창한,이강훈,이완희,이승현",979-11-5730-751-7,93350?,,,,제2판,,,35000,20200730,PNC(피앤씨미디어),,,미납본,www.pncmedia.co.kr
출동! 우리 반 '디지털 성범죄' 수사대,,박선희 지음 김주리 그림,979-11-7026-347-0,73810?,,,CIP2020026398?,,,,10000,20200720,팜파스,598.5,,미납본,http://www.pampasbook.com
특정범죄 가중처벌 등에 관한 법률 (약칭: 특정범죄가중법),,역자 : 박진실,979-11-6522-691-6,05360?,,,,,,,"4,000",20200720,(주)유페이퍼,,,미납본,http://www.upaper.net
영화 속 범죄 코드를 찾아라,,이윤호 글 박진숙 그림,979-11-85330-91-4,03330?,,,CIP2020025748?,,,,20000,20200713,도도 :퍼시픽 도도,334.24,,미납본,
"(민간조사원(탐정), 민간·공공분야 감사팀, 특사경, 보험범죄특수수사팀(SIU) 등을 위한) 수사면담과 용의자신문 기법 현장가이드",,지은이: 박재일,979-11-303-1047-3,93350?,,,,,,,15000,20200710,박영사,,,미납본,http://www.pybook.co.kr
분기별 범죄동향 리포트(2020년 1분기),,저자 : 한국형사정책연구원,979-11-89908-60-7,93330?,,,,,,,비매품/무료,20200701,한국형사정책연구원,,,미납본,http://www.kic.re.kr
과학수사와 범죄,,저자 : 과학나눔연구회,978-89-429-1625-2,03400?,,,,,,,35000,20200630,일진사,,,미납본,http://www.iljinsa.com
[종이책 코믹스] 제자에게 협박당하는 것은 범죄인가요?,,저자 : 카와세미 마키코,,,979-11-6507-712-9,07830?,,,,,세트가미정,20200630,(주)소미미디어,,,미납본,
2020 EBS 경비지도사 범죄학 [일반경비],,저자 : EBS 경비지도사 교수진,979-11-254-7424-1,15350?,,,,,,,18900,20200630,(주)시대고시기획시대교육,,,미납본,http://www.sidaegosi.com
제자에게 협박당하는 것은 범죄인가요?,1?,만화: 카와세미 마키코 원작: 사가라 소우 캐릭터 원안: 모모코 옮긴이: 김민재,979-11-6507-713-6,07830?,979-11-6507-712-9,07830?,,,[종이책 코믹스] 제자에게 협박당하는 것은 범죄인가요?,,5500,20200611,소미미디어,,,미납본,
디지털 성범죄 근절을 위한 ICT 활용 전략,,저자 : 이영주 박혜빈,978-89-8483-464-4,15000?,,,,,,,비매품/무료,20200531,한국정보화진흥원,,,미납본,http://www.nia.or.kr
기업범죄예방과 준법지원인제도,,지은이: 김재윤,979-11-303-3631-2,93360?,,,,,,,29000,20200525,박영사,,,미납본,http://www.pybook.co.kr
범죄수사론,,"박영수,박형식,조형근,한상철",979-11-5829-083-2,95350?,,,,,,,28000,20200525,(도서출판)오래,,,미납본,www.orebook.com
경계침범죄 판례,,저자 : 김재호,979-11-90835-13-8,15360?,,,CIP2020019478?,,,,"7,000",20200519,암마이,364.265,,미납본,
선박안전범죄론,,저자 : 손영태,979-11-90815-40-6,95360?,,,,,,,30000,20200515,지식인,,,미납본,
범죄의 붉은 실,,미스터 펫,978-89-546-7146-0,05820?,,,,,,,10500,20200508,(주)문학동네,,,미납본,www.munhak.com
국내 체류 이주여성의 범죄피해 분석을 통한 대응방안 연구,,연구관: 조금희,979-11-6298-073-6,93350?,,,,,,,비매품/무료,20200501,치안정책연구소,,,미납본,
부패범죄 억제 및 범죄수익·피해금 환수 정책 연구,,연구관: 강성용,979-11-6298-061-3,93350?,,,,,,,비매품/무료,20200501,치안정책연구소,,,미납본,
범죄예방을 위한 셉테드 전략별 효과요인에 관한 연구,2?,책임연구원: 강용길 공동연구원: 염윤호,979-11-6298-060-6,93350?,,,,,,,비매품/무료,20200501,치안정책연구소,,,미납본,
분기별 범죄동향 리포트(2019년 4분기),,저자 : 한국형사정책연구원,979-11-89908-59-1,93330?,,,,,,,비매품/무료,20200430,한국형사정책연구원,,,미납본,http://www.kic.re.kr
환경설계와 범죄예방,,최선우,979-11-303-6474-2,95350?,,,,,,,22400,20200430,(주)박영사,,,미납본,http://www.pybook.co.kr
(드론의 범죄화 시대에 따른) 드론과 안티드론,,"오세진,서일수,김태훈,정진만 공저",979-11-6257-112-5,93530?,,,,,,,15000,20200429,구미서관,,,미납본,
실전사례: 성범죄 사건에서 검찰 기소유예를 이끌어 낸 변호인 의견서,,저자 : 김재호,979-11-90636-89-6,15360?,,,CIP2020016204?,,,,"10,000",20200427,암마이,364.244,,미납본,
(올라) 범죄수사학,,"편저인: 박노섭,이동희,이윤,장윤식",978-89-5819-224-4,13350?,,,CIP2020015717?,,,,21000,20200423,경찰공제회,367.43077,,미납본,http://www.pmaa.or.kr
남자 성범죄 보안과,,저자 : Emiri Ito,979-11-359-1092-0,05650?,,,,,,,"3,500",20200417,(주식회사)넥스큐브,,,미납본,
남자 성범죄 보안과[웹툰](연재),,저자 : Emiri Ito,979-11-359-0877-4,05650?,,,,,,,연재가,20200417,(주식회사)넥스큐브,,,미납본,
공간닥터 프로젝트,vol.1?,"지은이: 권영상,김동현,김아연,김영욱,김정곤,김진욱,김충호,김현,민병욱,박윤미,박진아,백진,서예례,송하엽,원정연,이경훈,이명식,이상윤,이영범,유상오,유석연,오상헌,정욱주,주범,죄혜영,홍경구",978-89-5625-392-3,94300?,978-89-5625-391-6,94300?,CIP2020007395?,,공간닥터 프로젝트,1,20000,20200416,학고재,335.8,,미납본,
여성·청소년범죄 수사실무총서,,박태곤 편저,978-89-7535-838-8,93350?,,,CIP2020016868?,"2판, 2020년판",,,160000,20200415,법문북스,367.43,,미납본,http://www.law.co.kr
범죄의 붉은 실,,지은이: 미스터 펫 옮긴이: 이경민,978-89-546-7105-7,03820?,,,CIP2020010103?,,,,15000,20200410,엘릭시르 :문학동네,823.7,,미납본,www.munhak.com
범죄자의 뇌,,"Nicole Rafter,Chad Posick,Michael Rocque 송봉규,유동겸 옮김",979-11-303-0945-3,03350?,,,,,,,24000,20200410,박영사,,,미납본,http://www.pybook.co.kr
이수정 이다혜의 범죄 영화 프로파일,,"이수정,이다혜,최세희,조영주 지음",978-89-374-9130-6,03330?,,,,,,,18000,20200331,민음사,,,미납본,http://www.minumsa.com
(국가드론자격증 및 공무원 준비를 위한) 드론범죄수사론,,"지은이: 이건수,박준모",979-11-89675-58-5,93350?,,,,,,,20000,20200331,정독,,,미납본,http://www.mindtap.co.kr
CCTV에 나타난 범죄 상황 인지 기술 개발,,"연구책임: 문성철 연구진: 김준철,이지애",979-11-90734-31-8,93530?,,,,,,,비매품/무료,20200331,서울기술연구원,,,미납본,
공무원 및 경비지도사 준비를 위한 범죄학개론,,저자 : 이건수,979-11-89675-60-8,95350?,,,,,,,23000,20200327,(도서출판)정독,,,미납본,http://www.mindtap.co.kr
친밀한 성범죄자,,저자 : 안병헌,979-11-88977-45-1,05330?,,,CIP2020010739?,,,,"12,000",20200320,슬로디미디어그룹,364.244,,미납본,
생활 속 범죄와 법률,,이존걸 지음,978-89-456-1678-4,93360?,,,,,,,21000,20200320,大旺社,,,미납본,
(공무원 및 경비지도사 준비를 위한) 범죄학개론,,이건수 저,979-11-89675-57-8,93350?,,,,,,,23000,20200320,정독,,,미납본,http://www.mindtap.co.kr
친밀한 성범죄자,,안병헌 지음,979-11-88977-44-4,03330?,,,CIP2020009370?,,,,14800,20200320,슬로디미디어,364.244,,미납본,
남자 성범죄 보안과(연재),,저자 : Emiri Ito,979-11-359-0925-2,05650?,,,,,,,연재가,20200319,(주식회사)넥스큐브,,,미납본,
[전자책] 제자에게 협박당하는 것은 범죄인가요? 2,,저자 : 사가라 소우,979-11-6507-617-7,05830?,,,,,,,"5,000",20200318,(주)소미미디어,,,미납본,
"(채다은 변호사가 설명하는) 복잡한 법 말고, 진짜 성범죄 사건",,지은이: 채다은,979-11-969504-9-1,03360?,,,,,,,15000,20200313,필통북스,,,미납본,http://www.feeltongbooks.com/
범죄학,,"Larry J. Siegel 지음 옮긴이: 이민식,김상원,박미랑,박정선,신동준,윤옥경,이창배,황성현",978-89-6218-468-6,93360?,,,,제13판,,,33000,20200309,Cengage(센게이지러닝코리아),,,미납본,
Hi-Pass 범죄학,,"김대권, 정병수, 정의롬, 조상현, 박찬혁 외",979-11-90323-92-5,15350?,,,,,,,18000,20200309,(주식회사)백산출판사,,,미납본,http://www.ibaeksan.kr
노동범죄론,,저자 : 유각근,979-11-89979-17-1,93360?,,,,,,,"28,000",20200307,(도서출판)동방문화사,,,미납본,
2020년 강력범죄수사론,,저자 : 김지온 이승태,979-11-6298-052-1,93350?,,,,2,,,비매품/무료,20200306,경찰대학,,,미납본,
(세계 최고의 범죄소설 작가가 들려주는) 긴장감 넘치는 글쓰기를 위한 아이디어,,퍼트리샤 하이스미스 지음 송기철 옮김,978-89-98791-96-4,03840?,,,CIP2020004329?,,,,13800,20200302,북스피어,802.3,,미납본,
(2021) 강력범죄수사론,,"김지온,이승태 저",979-11-6298-090-3,93350?,,,,개정3판,,,비매품/무료,20200302,경찰대학,,,미납본,
디지털성범죄 피해 실태 및 시민인식 조사,,책임연구원: 강희영 공동연구원: 김여진,979-11-6161-916-3,93330?,,,,,,,비매품/무료,20200228,서울특별시 여성정책담당관,,,미납본,
범죄학,,"김형중,이도선,정의롬,조상현 지음",978-89-5727-303-6,93350?,,,,,,,25000,20200227,그린,,,미납본,http://www.greenpress.co.kr
산업보안 범죄심리,,저자 : 주윤창 장건태,979-11-85073-17-0,93330?,,,CIP2020007903?,,,,"20,000",20200225,디자인장이,364.45,,미납본,
시네마 던전: 김봉석 영화리뷰 범죄·액션 편,,저자 : 김봉석,979-11-89836-15-3,05680?,979-11-89836-13-9,05680?,CIP2020003518?,,에이플랫 시리즈 - 시네마 던전 세트,1,12000,20200207,에이플랫,688.09,,미납본,
대경대학교 현장중심 교수학습 지침서 과학기술과 범죄수사,,저자 : 장철영 이행준,979-11-968306-6-3,94060?,979-11-968306-3-2,94060?,,,대경대학교 현장중심 교수학습 지침서,,비매품/무료,20200201,(주)청춘 코퍼레이션,,,미납본,http://www.designcc.net
환경설계와 범죄예방,,지은이: 최선우,979-11-303-0793-0,93350?,,,,,,,32000,20200125,박영사,,,미납본,http://www.pybook.co.kr
나는 전쟁범죄자입니다,,김효순 지음,978-89-7483-005-2,03900?,,,CIP2019053444?,,,,19500,20200120,서해문집,818,,미납본,
제자에게 협박당하는 것은 범죄인가요?,제3교시?,사가라 소우 지음 모모코 일러스트 김민재 옮김,979-11-6507-195-0,04830?,979-11-6389-578-7,04830?,,,,,7500,20200114,소미미디어,,,미납본,
가장 기소하기 어려운 범죄,,저자 : economist 역자 : 전리오,979-11-969371-2-6,05300?,,,,,,,"3,600",20200108,(주)스리체어스(threechairs),,,미납본,https://www.bookjournalism.com
제자에게 협박당하는 것은 범죄인가요?,,저자 : 사가라 소우,,,979-11-6389-578-7,04830?,,,,,세트가미정,20191231,(주)소미미디어,,,미납본,
범죄예방정책학,,"저자: 이백철,조윤오,함혜현,한영선,박은영,권해수,이창한,박미랑,김지선,조성남,김안식,박준휘",979-11-303-0899-9,93350?,,,,,,,32000,20191231,박영사,,,미납본,http://www.pybook.co.kr
범죄이론과 테러리즘,,저자 : 한종욱,979-11-303-6414-8,95350?,,,,,,,11900,20191231,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄예방 환경조성사업의 효과성 분석 연구,,"연구책임: 조영진 연구진: 한수경,현태환,박유나",979-11-5659-263-1,93540?,,,,,,,15000,20191231,건축도시공간연구소,,,미납본,http://www.auri.re.kr
범죄예방 환경조성 시설·기법의 효과성 분석 연구,,"연구책임: 조영진 연구진: 한수경,박유나 외부연구진: 김승남",979-11-5659-241-9,93540?,,,,,,,17000,20191231,건축도시공간연구소,,,미납본,http://www.auri.re.kr
고령범죄자의 범죄경력 연구,,저자 : 박형민 김연수,979-11-89908-57-7,93330?,,,,,,,"10,000",20191231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
분기별 범죄동향 리포트(2019년 3분기),,저자 : 한국형사정책연구원,979-11-89908-29-4,93330?,,,,,,,비매품/무료,20191227,한국형사정책연구원,,,미납본,http://www.kic.re.kr
주거지역 유형별 생활범죄예방 설계기법(CPTED) 적용방안,,연구책임: 전상범,979-11-967562-8-4,13060?,,,,,,,비매품/무료,20191220,광진구청 정책기획단,,,미납본,http://www.gwangjin.go.kr
네덜란드군 정보국(NEFIS) 문서,,국사편찬위원회 [편],978-89-8236-749-6,94910?,978-89-8236-713-7,94910?,,,일본군 &#039위안부&#039.전쟁범죄 자료집,6,비매품/무료,20191210,국사편찬위원회,,,미납본,http://www.history.go.kr
"마인(魔人), 범죄편 : 중권 [큰글씨 특별판]",,저자 : 김내성,979-11-272-9065-8,03810?,,,,,,,"13,800",20191203,(주식회사)부크크,,,미납본,
범죄학과 형사사법 체계론,,김창윤,979-11-303-6420-9,95350?,,,,,,,22400,20191202,(주)박영사,,,미납본,http://www.pybook.co.kr
성폭력 범죄 법률가이드,,김형규,979-11-303-6409-4,95360?,,,,,,,12600,20191202,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄학 3판,,이윤호,979-11-303-6303-5,95350?,,,,,,,20300,20191202,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄수사법 실무 (경찰관을 위한 형사 CASE 연습),,강동필,979-11-303-6323-3,95360?,,,,,,,19600,20191202,(주)박영사,,,미납본,http://www.pybook.co.kr
인천광역시 디지털 성범죄 인식 및 실태 조사 연구,,연구책임: 김미선 공동연구: 신현주,979-11-85595-84-9,93330?,,,,,,,비매품/무료,20191201,인천여성가족재단,,,미납본,
고위공직자범죄수사처에 관한 연구,,"연구책임자: 박준휘 공동연구진: 김영중,한상훈,정한중,최유진,문준영",979-11-89908-51-5,93360?,,,,,,,10000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
국제범죄방지를 위한 UN·국제협력 및 연구,,"연구책임자: 윤정숙 공동연구자: 승재현,이승진,나주원,정세윤,강민정",979-11-89908-39-3,93330?,,,,,,,10000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
범죄피해자의 트라우마에 대한 형사정책적 체계정립 방안,,연구책임자: 김대근 공동연구자: 홍가혜,979-11-89908-35-5,93360?,,,,,,,10000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
살인범죄의 실태와 유형별 특성,,"책임연구자: 홍영오 공동연구자: 김빛나,손지선",979-11-89908-31-7,93330?,,,,,,,15000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
아동·청소년 성범죄에서 그루밍(grooming)의 특성 및 대응방안 연구,,"연구책임자: 윤정숙 공동연구자: 이태헌,김현숙",979-11-89908-50-8,93330?,,,,,,,7000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
범죄통계 DB 구축사업(XIV),,"연구책임자: 박형민 공동연구자: 신의기,박희정",979-11-89908-36-2,93330?,,,,,,,7000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
권력형 직무범죄의 예방 및 실효적 제재를 위한 재구성 방안 연구,,"연구책임자: 박학모 공동연구진: 김정환,이승준,신가람",979-11-89908-55-3,93360?,,,,,,,7000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
전국범죄피해조사 2018,,"연구책임자: 김민영 공동연구자: 한민경,박희정",979-11-89908-37-9,93330?,,,,,,,15000,20191201,한국형사정책연구원,,,미납본,http://www.kic.re.kr
디지털성범죄 피해자 지원 상담매뉴얼,,저자 : 서울특별시 여성가족정책실 여성권익담당관 (사)한국상담서비스네트워크,979-11-6161-844-9,13330?,,,,,,,비매품/무료,20191201,서울특별시,,,미납본,
층간소음과 범죄에 관한 형사판례,,저자 : 김재호,979-11-272-8978-2,05360?,,,,,,,"5,000",20191126,(주식회사)부크크,,,미납본,
분노조절장애로 인한 범죄,,저자 : 김재호,979-11-272-8947-8,05360?,,,,,,,"4,500",20191122,(주식회사)부크크,,,미납본,
인천광역시 범죄예방 환경개선 사업 분석 및 발전방안 연구,,"연구책임: 김미선 공동연구: 허선영,이소민",979-11-85595-71-9,93330?,,,,,,,비매품/무료,20191001,인천여성가족재단,,,미납본,
범죄예방 환경디자인사업의 효율적 추진 방안,,"연구책임: 이형복 비상임연구원: 임창호,강용길",979-11-6075-118-5,93330?,,,,,,,비매품/무료,20191001,대전세종연구원,,,미납본,http://www.dsi.re.kr
(인권증진을 위한) 장애인학대 및 장애인 대상 성범죄 실무협력 매뉴얼,,"집필인: 송정문,이상충,정유리",978-89-6114-714-9,93350?,,,,,,,비매품/무료,20191001,국가인권위원회 부산인권사무소,,,미납본,http://www.humanrights.go.kr
"세상에 대하여 우리가 더 잘 알아야 할 교양 35 폭력범죄, 어떻게 봐야 할까?",,저자 : 앨리슨 라쉬르 역자 : 이현정 감수자 : 이상현,979-11-5723-511-7,45300?,,,,,,,"9,600",20190930,(주)내인생의책,,,미납본,http://bookinmylife.com
분기별 범죄동향 리포트(2019년 2분기),,저자 : 한국형사정책연구원,979-11-89908-24-9,93330?,,,,,,,비매품/무료,20190927,한국형사정책연구원,,,미납본,http://www.kic.re.kr
"범죄심리학.The Book of Criminal Psychology, by Hans Gross",,저자 : Hans Gross,979-11-90248-77-8,95360?,,,CIP2019038264?,,,,"20,000",20190925,뉴가출판사,364.45,364.3,미납본,
범죄학과 형사사법체계론,,저자: 김창윤,979-11-303-0832-6,93350?,,,,,,,32000,20190925,박영사,,,미납본,http://www.pybook.co.kr
디지털 성범죄 해체하기,,여성가족부 .한국양성평등교육진흥원 .한국사이버성폭력대응센터,979-11-290-1388-0,93330?,,,,,,,10000,20190924,진한엠앤비,,,미납본,http://www.jinhanbook.co.kr/
민관 빅데이터 융합을 통한 선제적 범죄예방 지원 서비스 개발,,저자 : 안산시,979-11-290-1307-1,95330?,,,,,,,"10,000",20190920,진한엠앤비,,,미납본,http://www.jinhanbook.co.kr/
범죄로부터 안전한 우리집 만들기-다가구·다세대·연립주택 범죄예방환경설계 가이드라인,,저자 : 조영진 한수경 현태환 박유나 유혜정,979-11-5659-231-0,93350?,,,,,,,비매품/무료,20190916,건축도시공간연구소,,,미납본,http://www.auri.re.kr
범죄이론과 테러리즘,,한종욱 지음,979-11-303-0847-0,93350?,,,,,,,17000,20190914,박영사,,,미납본,http://www.pybook.co.kr
성폭력 범죄 법률 가이드,,저자: 김형규,979-11-303-3473-8,93360?,,,,,,,18000,20190903,박영사,,,미납본,http://www.pybook.co.kr
제자에게 협박당하는 것은 범죄인가요?,제2교시?,사가라 소우 지음 모모코 일러스트 김민재 옮김,979-11-6389-801-6,04830?,979-11-6389-578-7,04830?,,,,,7500,20190901,소미미디어,,,미납본,
범죄과학,,전대양 저,979-11-5556-139-3,93330?,,,CIP2019033056?,,,,28000,20190901,다해,364.4,,미납본,
[전자책] 제자에게 협박당하는 것은 범죄인가요? 1,,저자 : 사가라 소우,979-11-6389-935-8,05830?,,,,,,,"4,000",20190831,(주)소미미디어,,,미납본,
비즈니스범죄와 기업법,,한석훈 지음,979-11-5550-339-3,93360?,,,,제2판,,,38000,20190830,성균관대학교 출판부,,,미납본,http://press.skku.edu
(이론과 정책사례중심의) 범죄심리분석론,,한동효 지음,979-11-251-0298-4,93180?,,,,,,,35000,20190830,Kyowoo(교우),,,미납본,http://www.kyowoo.co.kr
(Hi-pass) 범죄학,,"김대권,정병수,정의롬,조상현,박찬혁,이상훈,정보성 공저",979-11-89740-57-3,13350?,,,,,,,18000,20190820,백산출판사,,,미납본,http://www.ibaeksan.kr
범죄와 징벌의 균형 2권,,저자 : LovelyKGB,979-11-6494-079-0,05810?,979-11-6494-077-6,05810?,CIP2019030736?,,범죄와 징벌의 균형,2,"2,600",20190809,(주)스토리야,813.7,,미납본,http://www.storyya.com
범죄와 징벌의 균형 3권,,저자 : LovelyKGB,979-11-6494-080-6,05810?,979-11-6494-077-6,05810?,CIP2019030743?,,범죄와 징벌의 균형,3,"2,600",20190809,(주)스토리야,813.7,,미납본,http://www.storyya.com
범죄와 징벌의 균형,,저자 : LovelyKGB,,,979-11-6494-077-6,05810?,,,,,세트가미정,20190809,(주)스토리야,,,미납본,http://www.storyya.com
범죄와 징벌의 균형 1권,,저자 : LovelyKGB,979-11-6494-078-3,05810?,979-11-6494-077-6,05810?,CIP2019030735?,,범죄와 징벌의 균형,1,"2,600",20190809,(주)스토리야,813.7,,미납본,http://www.storyya.com
범죄와 징벌의 균형 (연재),,저자 : LovelyKGB,979-11-6494-075-2,05810?,,,,,,,연재가,20190807,(주)스토리야,,,미납본,http://www.storyya.com
임준태 교수의 법과학과 범죄수사,,저자 : 임준태,978-89-8468-796-7,95350?,,,,,,,"35,000",20190805,(도서출판)21세기사,,,미납본,www.21cbook.co.kr
